cid,smiles
298849,CCOC1=C(C(=O)C1C)C
298910,CC1=CC(=O)C=CC1(C)C
299330,CCOC(=O)N=CN(C)C
300489,CC1=C(C(=O)N(C1=O)C)N
300597,CC(=COC(=N)C(=O)N)C
300599,CCN=C(C(=NCC)N)N
300626,CN(C)C(=N)C(=N)N(C)C
301241,CCC(=NOCC)C(=O)N
301246,CCC(=NOCC)C(=O)O
301328,C1=NN2C(=O)C(=O)NC2=N1
301931,CC1=C(C(N=C1C)(C)C)C
304566,CN(C)C=C1CCOC1=O
304729,CC(=C)C1(C=CC(=O)O1)O
305353,CC1(C=CC(=NO)C=C1)C
307256,CC1=CC(=O)N(C1=O)CO
307264,C1COC(=O)C1=CC2CO2
309465,C1=CC(=CN=C1)C=CC=O
311847,C1CN(C(=O)C(=O)N1N)N
312237,CC1(CCOC(=O)C1=C)C
314198,CC1=CC(=O)C(C1)C(C)C
314430,C(C(C(=NN)C=NN)O)O
314945,CC1=[N+]([N+](=C(C1=O)C)[O-])[O-]
315455,CC1=CC(=O)NC1=CC#N
316259,C=C(C1=CC=CO1)C(=O)O
316580,CC(C)C=CC=CC(C)C
316637,CCCCC=CC(=O)OC
317046,C1CCC2=CC(=O)CC2C1
317063,CCOC(=O)C=C(C)CO
319300,C1=CN(C(=CN=O)N1O)O
319567,CC(=O)C1=C(OCCC1)N
319645,C1(NC(=C(C(=O)N1)N)N)N
319922,CC12C(O1)C(=O)C=CC2=O
321925,CS(=O)(=O)NN=CC(=O)O
322973,C=C1C(=O)C2CCN1CC2
322983,CN1CCN(C(=O)C1=O)C
324231,C=CC(=O)NCCC(=O)O
324854,C1CC2=C(C1)C(=O)OC2=O
325088,C1CC2=C(C1)C(=O)NC2=O
328263,C1=CC(=O)C(C1O)(CO)O
330355,C1SC(=C(C#N)[N+](=O)[O-])S1
330536,CCCCC(=C)C(=O)OC
331534,C=C1C2CC=CC2OC1=O
332317,C=C1[C@H]2CCC[C@H]2OC1=O
332753,CC=CC1CCC(=O)C1=C
332954,C1CC2(C=CC(=O)N2C1)O
333641,CCOC(=O)C1=NCCS1
335439,C=C(C(C(=O)O)N)C(=O)O
336280,C1CC=C(C(C1)O)[N+](=O)[O-]
336450,CC(=C1C(=O)NC(=O)N1)C
337011,CCC1C(=O)C=CC(O1)O
339667,CCC(C(=C)C(=O)OC)O
340694,C1=NC(=O)NC(=O)C12N=N2
342043,C=C(C(C(=O)O)N)C(=O)N
343117,CC(=O)OC1CC(=O)C=C1
343160,CCC(=NN(C)C)C(=O)O
343163,CCC(=NOC)C(=O)OC
346867,CCC1(CC=C(C=C1)C)C
346960,CN1C2=CC=CCN2N=N1
348497,CC(=C)CCC=CC(=O)O
349506,CCN=C(C)C(=NCC)C
350134,CCOC(=O)C=CC(=O)N
350473,C=CC(=O)N1CCCCC1
350845,CC(=NOC(=O)C)C(=O)C
351088,CC=CC(=O)C1=CC=CS1
351621,COC(=O)N=NC(=O)OC
352484,C1=CN=C2C=C1C=NN=C2
352961,CN(C)N1C(=O)C=CC1=O
354807,C1COC(=O)C1=CN=[N+]=[N-]
